City,MuslimNumbers
PLEASANT GROVE,8
PLEASANT HILL,790
PLEASANTON,1562
PLUMAS LAKE,96
PLYMOUTH,11
POINT ARENA,2
POINT REYES STATION,3
POLLOCK PINES,33
POMONA,898
POPLAR,1
PORT COSTA,1
PORT HUENEME,77
PORTER RANCH,130
PORTERVILLE,304
PORTOLA,10
PORTOLA VALLEY,76
POTRERO,2
POTTER VALLEY,2
POWAY,734
PRATHER,2
PRINCETON,1
PROBERTA,1
QUARTZ HILL,9
QUINCY,16
RAMONA,211
RANCHO CORDOVA,828
RANCHO CUCAMONGA,4051
RANCHO DOMINGUEZ,5
RANCHO MIRAGE,272
RANCHO MISSION VIEJO,290
RANCHO MURIETA,38
RANCHO PALOS VERDES,1533
RANCHO SANTA FE,341
RANCHO SANTA MARGARITA,1157
RAVENDALE,2
RAYMOND,7
RED BLUFF,74
REDDING,398
REDLANDS,1154
REDONDO BEACH,1478
REDWAY,1
REDWOOD CITY,1383
REDWOOD VALLEY,16
REEDLEY,134
RESCUE,28
RESEDA,1481
RIALTO,424
RICHGROVE,10
RICHMOND,1451
RICHVALE,4
RIDGECREST,143
RIMFOREST,4
RIO DELL,7
RIO LINDA,66
RIO OSO,1
RIO VISTA,52
RIPON,121
RIVERBANK,163
RIVERDALE,49
RIVERSIDE,4013
RLLNG HLS EST,1
ROBBINS,15
ROCKLIN,992
RODEO,87
ROHNERT PARK,419
ROLLING HILLS,41
ROLLING HILLS EST,212
ROMOLAND,15
ROSAMOND,72
ROSEMEAD,97
ROSEVILLE,2647
ROSS,21
ROUGH AND READY,11
ROWLAND HEIGHTS,329
ROYAL OAKS,29
RUNNING SPRINGS,14
RUTH,1
SACRAMENTO,9850
SAINT HELENA,40
SALIDA,91
SALINAS,616
SALTON CITY,6
SALYER,2
SAN ANDREAS,15
SAN ANSELMO,125
SAN BERNARDINO,1149
SAN BRUNO,851
SAN CARLOS,685
SAN CLEMENTE,879
SAN DIEGO,20017
SAN DIMAS,824
SAN FERNANDO,93
SAN FRANCISCO,11797
SAN GABRIEL,407
SAN GERONIMO,5
SAN GREGORIO,2
SAN JACINTO,264
SAN JOAQUIN,28
SAN JOSE,13644
SAN JUAN BAUTISTA,16
SAN JUAN CAPISTRANO,481
SAN LEANDRO,1234
SAN LORENZO,195
SAN LUIS OBISPO,418
SAN MARCOS,1392
SAN MARINO,167
SAN MARTIN,46
SAN MATEO,1938
SAN MIGUEL,8
SAN PABLO,329
SAN PEDRO,1397
SAN QUENTIN,6
SAN RAFAEL,763
SAN RAMON,2571
SAN SIMEON,1
SAN YSIDRO,51
SAND CITY,6
SANGER,107
SANTA ANA,1805
SANTA BARBARA,1180
SANTA CLARA,2861
SANTA CLARITA,430
SANTA CRUZ,914
SANTA FE SPRINGS,62
SANTA MARGARITA,5
SANTA MARIA,344
SANTA MONICA,2582
SANTA NELLA,7
SANTA PAULA,57
SANTA ROSA,1104
SANTA ROSA VALLEY,66
SANTA YNEZ,22
SANTA YSABEL,8
SANTEE,845
SARATOGA,883
SAUGUS,739
SAUSALITO,129
SCOTIA,3
SCOTT BAR,1
SCOTTS VALLEY,183
SEAL BEACH,331
SEASIDE,283
SEBASTOPOL,164
SEELEY,2
SEIAD VALLEY,2
SELMA,152
SF-PRESIDIO,54
SF-TREASURE ISLAND,49
SHADOW HILLS,1
SHAFTER,113
SHANDON,1
