school_district,Muslim_Total,Muslim_Voted,Muslim_Voted_Percent
modoc joint unified school district,16,7,43.75
mojave unified school district,65,26,40.0
monrovia unified school district,456,303,66.45
montebello unified school district,405,204,50.37
monterey peninsula unified school district,1227,670,54.6
montgomery township school district,1,1,100.0
moorpark unified school district,645,415,64.34
moreno valley unified school district,1518,617,40.65
morgan hill unified school district,913,621,68.02
morongo unified school district,291,143,49.14
mount diablo unified school district,5059,2774,54.83
mountain empire unified school district,39,27,69.23
mountain valley unified school district,6,3,50.0
mountain view-los altos union school district,2223,1504,67.66
muroc joint unified school district,6,0,0.0
murrieta valley unified school district,1559,828,53.11
napa valley unified school district,746,486,65.15
natomas unified school district,1770,924,52.2
needles unified school district,15,4,26.67
nevada joint union high school district,379,263,69.39
new haven unified school district,1693,802,47.37
newark unified school district,919,455,49.51
newman-crows landing unified school district,60,28,46.67
newport-mesa unified school district,3737,2271,60.77
north monterey county unified school district,110,48,43.64
north tippah school district,1,1,100.0
northern humboldt union high school district,211,120,56.87
norwalk-la mirada unified school district,772,437,56.61
novato unified school district,699,465,66.52
nye county school district,38,9,23.68
oak park unified school district,336,203,60.42
oakdale joint unified school district,118,58,49.15
oakland unified school district,6388,2927,45.82
oceanside unified school district,791,517,65.36
ojai unified school district,106,73,68.87
orange unified school district,4546,2706,59.52
orland joint unified school district,19,13,68.42
oroville union high school district,110,55,50.0
owens valley unified school district,3,1,33.33
oxnard union high school district,1574,1012,64.29
pacific grove unified school district,246,139,56.5
pajaro valley joint unified school district,490,260,53.06
palm springs unified school district,1218,718,58.95
palo alto unified school district,1574,1075,68.3
palo verde unified school district,29,10,34.48
palos verdes peninsula unified school district,1834,1209,65.92
paradise unified school district,67,42,62.69
paramount unified school district,259,122,47.1
parlier unified school district,12,2,16.67
pasadena unified school district,2693,1775,65.91
paso robles joint unified school district,199,121,60.8
patterson joint unified school district,220,86,39.09
perris union high school district,1481,783,52.87
petaluma joint union high school district,605,441,72.89
