City,Muslim_Total,Muslim_Voted,Muslim_Voted_Percent
Soquel,80,56,70.0
Soulsbyville,6,3,50.0
South El Monte,33,13,39.39
South Gate,137,70,51.09
South Lake Tahoe,161,96,59.63
South Pasadena,308,221,71.75
South San Francisco,984,443,45.02
South San Gabriel,32,21,65.62
Spreckels,4,4,100.0
Spring Valley,1085,579,53.36
Springville,20,13,65.0
Stanford,198,117,59.09
Stanton,277,111,40.07
Stevenson Ranch,539,347,64.38
Stevenson Rnh,8,5,62.5
Stevinson,3,0,0.0
Stinson Beach,2,2,100.0
Stirling City,2,2,100.0
Stockton,3047,1453,47.69
Stonyford,2,2,100.0
Stratford,2,0,0.0
Strathmore,11,7,63.64
Strawberry Valley,1,1,100.0
Studio City,703,432,61.45
Sugarloaf,12,8,66.67
Suisun City,213,116,54.46
Summerland,2,1,50.0
Sun Valley,273,143,52.38
Sun Vallley,1,0,0.0
Sunland,332,209,62.95
Sunnyvale,2205,1390,63.04
Sunol,18,15,83.33
Sunset Beach,7,3,42.86
Surfside,2,2,100.0
Susanville,40,30,75.0
Sutter,6,3,50.0
Sutter Creek,8,7,87.5
Sylmar,543,314,57.83
Taft,28,10,35.71
Tahoe City,12,10,83.33
Tahoe Vista,4,3,75.0
Tahoma,8,8,100.0
Tarzana,1693,995,58.77
Tehachapi,128,76,59.38
Tehama,6,4,66.67
Temecula,1697,932,54.92
Temple City,246,157,63.82
Templeton,60,37,61.67
Termo,1,1,100.0
Terra Bella,9,8,88.89
The Sea Ranch,6,5,83.33
Thermal,8,5,62.5
Thornton,3,1,33.33
Thousand Oaks,1074,723,67.32
Thousand Palms,34,19,55.88
Three Rivers,11,7,63.64
Tiburon,259,191,73.75
Tipton,7,0,0.0
Tollhouse,8,6,75.0
Toluca Lake,3,1,33.33
Tomales,2,1,50.0
Topanga,81,57,70.37
Topaz,1,0,0.0
Torrance,3063,1793,58.54
Trabuco,1005,663,65.97
Tracy,2241,969,43.24
Tranquillity,5,1,20.0
Traver,6,3,50.0
Travis,9,2,22.22
Trinidad,13,5,38.46
Trinity Center,1,1,100.0
Trona,4,1,25.0
Truckee,109,68,62.39
Tujunga,404,235,58.17
Tulare,184,72,39.13
Turlock,1135,616,54.27
Tustin,1590,963,60.57
Twain Harte,20,12,60.0
Twentynine Palms,72,26,36.11
Twin Peaks,10,7,70.0
Ukiah,103,63,61.17
Union City,1626,756,46.49
Universal City,1,0,0.0
Upland,1526,817,53.54
Upper Lake,3,0,0.0
Vacaville,688,400,58.14
Valencia,1160,779,67.16
Vallecito,5,3,60.0
Vallejo,812,439,54.06
Valley Center,200,116,58.0
Valley Ford,1,0,0.0
Valley Glen,1,1,100.0
Valley Springs,47,34,72.34
Valley Village,508,319,62.8
Valley Vlg,4,1,25.0
Van Nuys,1530,805,52.61
Vandenberg Afb,4,1,25.0
Venice,511,313,61.25
Ventura,780,482,61.79
Verdi,1,1,100.0
Vernalis,7,6,85.71
Victorville,934,419,44.86
Villa Park,173,115,66.47
Vina,1,1,100.0
Visalia,795,417,52.45
Vista,874,581,66.48
Volcano,1,1,100.0
W Hollywood,1,1,100.0
W Los Angeles,1,1,100.0
W Toluca Lake,1,0,0.0
Walnut,573,376,65.62
Walnut Creek,2361,1449,61.37
Walnut Grove,6,4,66.67
Warner Springs,5,3,60.0
Wasco,50,12,24.0
Waterford,24,11,45.83
Watsonville,285,136,47.72
Weaverville,12,3,25.0
Weed,17,10,58.82
Weldon,9,6,66.67
Weott,1,0,0.0
West Covina,815,414,50.8
West Hills,178,111,62.36
West Hollywood,835,500,59.88
West Point,2,2,100.0
West Sacramento,732,337,46.04
Westchester,3,2,66.67
Westlake Village,664,465,70.03
Westley,1,0,0.0
Westminster,950,490,51.58
Westmorland,3,2,66.67
Westport,2,1,50.0
Westwood,7,4,57.14
Wheatland,9,6,66.67
Whitethorn,10,5,50.0
Whitewater,9,6,66.67
Whitmore,1,0,0.0
Whittier,855,527,61.64
Wildomar,340,170,50.0
Williams,8,5,62.5
Willits,48,29,60.42
Willow Creek,4,3,75.0
Willows,14,9,64.29
Wilmington,93,45,48.39
Wilseyville,1,0,0.0
Wilton,48,26,54.17
Winchester,482,258,53.53
Windsor,126,87,69.05
Winnetka,1000,530,53.0
Winterhaven,1,0,0.0
Winters,30,13,43.33
Winton,13,7,53.85
Wofford Heights,7,4,57.14
Woodacre,9,9,100.0
Woodbridge,36,22,61.11
Woodfords,5,3,60.0
Woodlake,26,8,30.77
Woodland,907,519,57.22
Woodland Hills,3673,2118,57.66
Woodland Hld,1,0,0.0
Woodland Hls,38,15,39.47
Woodside,123,90,73.17
Wrightwood,19,14,73.68
Yermo,3,1,33.33
Yokuts Valley,22,13,59.09
Yolo,3,2,66.67
Yorba Linda,1811,1205,66.54
Yosemite National Park,1,1,100.0
Yountville,6,2,33.33
Yreka,24,17,70.83
Yuba City,617,318,51.54
Yucaipa,359,203,56.55
Yucca Valley,139,76,54.68
Zamora,3,2,66.67
