City,Muslim_Total,Muslim_Voted,Muslim_Voted_Percent
Chowchilla,75,40,53.33
Chualar,1,1,100.0
Chula Vista,1839,992,53.94
Citrus Heights,815,471,57.79
Claremont,561,335,59.71
Clarksburg,2,2,100.0
Clayton,246,151,61.38
Clearlake,34,14,41.18
Clearlake Oaks,17,7,41.18
Clearlake Park,1,0,0.0
Clio,3,2,66.67
Cloverdale,35,26,74.29
Clovis,1326,662,49.92
Coachella,60,23,38.33
Coalinga,48,24,50.0
Coarsegold,34,24,70.59
Cobb,4,1,25.0
Coffee Creek,2,0,0.0
Colfax,29,20,68.97
College City,1,1,100.0
Colma,66,25,37.88
Colton,310,116,37.42
Columbia,1,1,100.0
Colusa,17,14,82.35
Commerce,20,10,50.0
Compton,222,83,37.39
Concord,2196,1087,49.5
Cool,15,10,66.67
Copperopolis,13,9,69.23
Corcoran,44,11,25.0
Corning,28,21,75.0
Corona,5577,3032,54.37
Corona Del Mar,354,235,66.38
Coronado,123,80,65.04
Corte Madera,147,107,72.79
Costa Mesa,1453,837,57.6
Cotati,72,49,68.06
Cottonwood,29,14,48.28
Courtland,7,5,71.43
Covina,730,425,58.22
Crescent City,56,38,67.86
Crescent Mills,1,1,100.0
Cressey,1,1,100.0
Crestline,55,34,61.82
Creston,5,4,80.0
Crockett,19,8,42.11
Crowley Lake,5,5,100.0
Crows Landing,2,0,0.0
Cudahy,41,11,26.83
Culver City,916,557,60.81
Cupertino,971,646,66.53
Cutler,10,0,0.0
Cypress,924,531,57.47
Daggett,1,0,0.0
Daly City,1288,570,44.25
Dana Point,472,305,64.62
Danville,1649,1097,66.53
Davenport,2,2,100.0
Davis,1154,635,55.03
Davis Creek,1,1,100.0
Death Valley,1,0,0.0
Deer Park,2,2,100.0
Del Loma,1,1,100.0
Del Mar,271,188,69.37
Del Rey,4,1,25.0
Del Rey Oaks,34,13,38.24
Delano,151,52,34.44
Delhi,30,13,43.33
Denair,21,9,42.86
Descanso,15,12,80.0
Desert Hot Springs,169,76,44.97
Desert Shores,3,1,33.33
Diablo,19,12,63.16
Diamond Bar,1050,592,56.38
Diamond Springs,12,6,50.0
Dillon Beach,4,2,50.0
Dinuba,145,27,18.62
Discovery Bay,162,77,47.53
Dixon,70,51,72.86
